provinsi,persentase penduduk miskin
Aceh,9.84
Sumatera Utara,8.73
Sumatera Barat,4.97
Riau,6.12
Jambi,10.41
Sumatera Selatan,12.16
Bengkulu,14.77
Lampung,9.02
Bangka Belitung,3.06
Kepulauan Riau,5.42
Jakarta Raya,4.53
Jawa Barat,7.14
Jawa Tengah,10.09
Yogyakarta,11.53
Jawa Timur,7.89
Banten,5.03
Bali,3.33
Nusa Tenggara Barat,14.9
Nusa Tenggara Timur,8.64
Kalimantan Barat,4.69
Kalimantan Tengah,4.62
Kalimantan Selatan,3.61
Kalimantan Timur,4.45
Kalimantan Utara,5.06
Sulawesi Utara,5.22
Sulawesi Tengah,8.76
Sulawesi Selatan,4.49
Sulawesi Tenggara,7.14
Gorontalo,3.97
Sulawesi Barat,9.59
Maluku,6.23
Maluku Utara,4.53
Papua,5.85
Papua Barat,4.47
