negara_tujuan,nilai_ekspor
Tiongkok,31781.8
Amerika Serikat,18622.5
Jepang,13664.7
Singapura,10661.9
Malaysia,8098.8
Korea Selatan,6507.6
Filipina,5900.7
Thailand,5110.3
Vietnam,4941.4
Taiwan,4097.4
Belanda,3113.7
Australia,2505.7
Jerman,2456.3
Hongkong,2034.9
Italia,1746.2
Spanyol,1515.7
Inggris,1283.4
Belgia,1220.4
Myanmar,1031.9
Meksiko,936.5
Perancis,916.3
Kanada,789.1
Kamboja,541.3
Selandia Baru,480
Polandia,441.1
Yunani,209.6
Swedia,172.3
Denmark,163.9
Brunei Darussalam,129
Finlandia,60.8
Laos,5.1
